complex_id_number,structure_name,longitude,latitude,serialid
2219,A,-92.6396654,29.49330014,276
680,8,-92.63213961,29.47943427,277
452,#7,-92.64179111,29.46427278,278
21794,1,-92.62077,29.448972,279
21974,3,-92.639715,29.467178,280
22684,4,-92.625264,29.475891,281
21973,A,-92.639715,29.467181,282
22053,B,-92.799349,29.484657,283
22278,C,-92.804507,29.467105,284
33036,CAIS.#1,-92.78259055,29.47800684,285
23261,1,-92.880778,29.455574,286
1431,2,-92.91905368,29.4501656,287
23652,A,-92.89146,29.45325,288
1213,3,-92.9377786,29.47633755,289
22636,D,-92.948405,29.476094,290
1213,E,-92.9377786,29.47633755,291
22295,A,-92.971179,29.447062,292
22295,B,-92.971174,29.446784,293
22317,C(Removed),-92.971512,29.46878,294
20214,D,-92.982813,29.413739,295
22325,J,-92.979302,29.440582,296
22325,JP,-92.977681,29.440641,297
32042,2,-92.95609077,29.42765439,298
20218,C,-92.960266,29.412921,299
21493,E,-92.931311,29.413083,300
20215,H,-92.963242,29.420362,301
21947,I,-92.966318,29.408445,302
24049,K,-92.927343,29.428063,303
21789,B,-92.899125,29.414894,304
25000,CG-VALVE,-92.89604418,29.40685053,305
25000,COMP,-92.89635392,29.4065718,306
23619,A,-92.869888,29.440089,307
20953,1,-92.796978,29.422825,308
21792,1,-92.629912,29.4399,309
22125,JA,-92.678896,29.372713,310
22057,JB,-92.64749,29.385936,311
22125,JC,-92.678869,29.373552,312
23342,4,-92.706884,29.386121,313
22373,A,-92.691054,29.377241,314
22373,A,-92.690726,29.377145,315
23358,A,-92.812582,29.384298,316
20452,A,-92.917359,29.364773,317
230,B,-92.9080795,29.39021823,318
20451,B,-92.955876,29.393999,319
1313,CAIS.#1,-92.96476659,29.40132787,320
21154,G,-92.950348,29.376372,321
20451,No. 8,-92.955931,29.394243,322
22010,#8 #9 #10,-92.988303,29.401346,323
24043,11,-92.970153,29.381918,324
24081,12,-92.970143,29.382061,325
21135,2,-93.006086,29.380853,326
20952,4,-92.96812,29.393731,327
20951,5,-92.968927,29.383523,328
21979,7-Jun,-92.996684,29.381935,329
20631,A,-92.986507,29.381354,330
20631,A-AUX1,-92.986512,29.381629,331
20631,A-AUX2,-92.986512,29.381629,332
20597,F,-92.986077,29.397196,333
20597,F-AUX,-92.98617,29.397308,334
20631,G,-92.98644398,29.38134978,335
2291,L,-92.98831439,29.40127967,336
22845,A,-93.003983,29.339223,337
22845,B,-93.003323,29.339507,338
22938,C,-92.978014,29.33505,339
2275,D,-92.98828894,29.33651852,340
20134,1,-92.928997,29.354291,341
23168,A,-92.931084,29.335134,342
23168,A-PRD,-92.93108,29.334859,343
23248,B,-92.94073,29.325384,344
20216,B,-92.908204,29.343698,345
21040,C,-92.885482,29.353439,346
20217,A,-92.690307,29.339169,347
20217,C,-92.690189,29.339701,348
1525,D,-92.71577822,29.34679554,349
1526,4,-92.68507202,29.35550464,350
1757,1,-92.67718027,29.31939066,351
20895,3,-92.72368,29.292235,352
22520,5,-92.721017,29.303837,353
970,A,-92.72188137,29.28718608,354
23398,11,-92.95733,29.300652,355
22347,9,-92.949337,29.305397,356
21494,A,-92.950257,29.29865,357
21494,A-AUX,-92.95046895,29.298738,358
1032,B,-92.95915124,29.31314364,359
20500,1,-93.008847,29.29421,360
21496,1,-92.985143,29.302279,361
20501,11,-92.978485,29.317214,362
21495,2,-92.996592,29.304394,363
20535,2,-92.980942,29.298701,364
21497,4,-92.980704,29.284183,365
33022,4 B,-92.99150825,29.30414532,366
21495,5,-92.996573,29.304378,367
20625,6,-93.000431,29.289727,368
21498,7,-92.981002,29.302331,369
20625,A,-93.000753,29.290254,370
27029,A,-93.00493186,29.31965653,371
27029,A-AUXILARY,-93.00493296,29.31972252,372
20625,B,-93.000817,29.289722,373
90025,C,-93.00466833,29.28459079,374
1206,D,-92.9976478,29.28781571,375
23687,A,-92.995708,29.279776,376
231,B,-93.00172502,29.27509865,377
855,CAIS.#4,-93.0001009,29.27135973,378
20208,H,-93.001086,29.26704,379
471,C,-92.95655799,29.28044471,380
584,15,-92.73394607,29.2747997,381
20137,A,-92.740803,29.276852,382
20137,B,-92.740972,29.277007,383
591,D #2,-92.74596602,29.26300946,384
68,#14,-92.7298002,29.28116953,385
20894,1,-92.727191,29.262633,386
22367,11,-92.708388,29.266001,387
20892,4,-92.731479,29.266581,388
20893,5 & 12,-92.718827,29.281561,389
20939,6,-92.729676,29.272241,390
20939,6-AUX1,-92.729672,29.271966,391
20939,C,-92.72967609,29.27224096,392
941,CAIS.#17,-92.70668548,29.26008674,393
1578,1,-92.6691153,29.26038533,394
23362,A,-92.663226,29.264931,395
2268,A,,,396
22054,A,-92.827458,29.217568,397
848,A,-92.8643836,29.18178941,398
22382,A,-92.837266,29.198463,399
22382,A-AUX,-92.837535,29.199073,400
23675,A,-92.75074,29.164561,401
23675,B,-92.75074,29.164561,402
1910,5,-92.62523279,29.1919597,403
23329,A,-92.620978,29.174362,404
1714,1,-92.66551801,29.14044575,405
2422,No.2,-92.66889208,29.14803207,406
23688,1(Removed),-92.918923,29.151953,407
14,A,-92.98954913,29.1392963,408
21500,A(Removed),-92.967257,29.137256,409
21499,B,-92.970992,29.141403,410
22072,C,-92.984444,29.141619,411
23640,2,-92.893071,29.101627,412
23633,A,-92.870765,29.08508,413
23633,A-AUX,-92.870769,29.085355,414
1817,B,-92.89163361,29.10749965,415
23618,2,-92.863299,29.087448,416
1761,B,-92.86185163,29.08118872,417
23679,1,-92.628712,29.058216,418
22796,A,-92.64173,29.049849,419
32028,A(SEAHORSE),-92.66864378,29.05687818,420
1512,1,-92.73000856,29.04345823,421
22951,A,-92.747746,29.042117,422
2086,1,-92.96862842,29.0322296,423
27026,2,-92.95873408,29.03629988,424
27018,A,-92.92032879,29.01763698,425
887,1,-92.90282611,29.00754686,426
1634,A,-92.84529299,29.0177755,427
844,2,-92.7573616,29.01770159,428
723,A,-92.67664372,29.03202569,429
23393,A,-92.720599,28.975089,430
23392,B,-92.7031709,28.99631431,431
27001,A,-92.73310654,28.97816436,432
23680,A,-92.839667,28.976704,433
201,B(FMR CAIS.#3),-92.85418529,28.96167062,434
610,C,-92.85647896,28.97605456,435
373,A,-92.90404405,28.98393849,436
1021,A,-92.99542003,28.97609453,437
24090,A,-92.87883897,28.9425694,438
2032,D,-92.87691368,28.94485846,439
21222,2,-92.739117,28.937789,440
21221,3,-92.737789,28.926844,441
23649,6,-92.731752,28.940964,442
21223,A,-92.746616,28.939063,443
21223,A-Aux,-92.746782,28.939347,444
22929,C,-92.73882,28.950794,445
798,A,-92.72437883,28.94854576,446
